!FRM4SOC_CP
!TEMPDATA
# thermal characterization results

# comments start with # (ignored by the processor)
# no empty lines between the parameter signatures in [] and the parameter values
# parameters are case insensitive
# parameters can be inserted in any order, except the first two signatures
# columns are tab- or space-delimited

[VERSION]
0.1

[CALDATE]
2022-06-03 19:33:11

[CALLAB]
Tartu Observatory

[USER]
Ilmar Ansko

[DEVICE]
SAT0386

[AMBIENT_TEMP]
21.0

[REFERENCE_TEMP]
20.0

#px	wl (nm)	cT (1/deg)	ucT (1/deg, k=2)
[CALDATA]
0	0.00	2.850E-002	1.977E+001
1	305.15	-6.930E-003	1.081E-002
2	308.53	-8.352E-003	1.403E-002
3	311.91	-9.126E-003	1.144E-002
4	315.30	-1.016E-002	1.061E-002
5	318.68	-8.491E-003	9.463E-003
6	322.06	-7.738E-003	8.687E-003
7	325.45	-7.818E-003	8.912E-003
8	328.83	-6.924E-003	6.586E-003
9	332.22	-5.705E-003	6.535E-003
10	335.60	-3.321E-003	4.035E-003
11	338.99	-2.464E-003	3.251E-003
12	342.38	-2.553E-003	1.746E-003
13	345.77	-1.857E-003	1.873E-003
14	349.15	-1.789E-003	1.338E-003
15	352.54	-1.345E-003	1.142E-003
16	355.93	-1.358E-003	1.011E-003
17	359.32	-1.145E-003	6.746E-004
18	362.71	-9.208E-004	7.148E-004
19	366.10	-9.176E-004	5.108E-004
20	369.49	-8.375E-004	4.390E-004
21	372.88	-8.057E-004	3.870E-004
22	376.28	-7.210E-004	3.645E-004
23	379.67	-7.233E-004	2.998E-004
24	383.06	-7.632E-004	2.502E-004
25	386.45	-7.624E-004	3.016E-004
26	389.85	-7.428E-004	2.716E-004
27	393.24	-7.893E-004	2.495E-004
28	396.64	-8.021E-004	2.248E-004
29	400.03	-7.714E-004	2.224E-004
30	403.42	-7.584E-004	2.205E-004
31	406.82	-7.964E-004	2.212E-004
32	410.21	-8.166E-004	2.282E-004
33	413.61	-7.977E-004	2.171E-004
34	417.01	-8.325E-004	2.186E-004
35	420.40	-8.517E-004	2.156E-004
36	423.80	-8.275E-004	2.114E-004
37	427.19	-7.843E-004	2.082E-004
38	430.59	-7.683E-004	2.078E-004
39	433.99	-7.738E-004	2.071E-004
40	437.39	-7.028E-004	2.077E-004
41	440.78	-6.822E-004	2.126E-004
42	444.18	-6.346E-004	2.106E-004
43	447.58	-5.524E-004	2.027E-004
44	450.98	-5.277E-004	2.119E-004
45	454.37	-5.113E-004	2.117E-004
46	457.77	-4.844E-004	2.131E-004
47	461.17	-4.467E-004	2.067E-004
48	464.57	-4.600E-004	2.126E-004
49	467.97	-4.541E-004	2.062E-004
50	471.36	-4.610E-004	2.060E-004
51	474.76	-3.941E-004	2.101E-004
52	478.16	-3.243E-004	2.207E-004
53	481.56	-2.847E-004	2.117E-004
54	484.96	-2.560E-004	2.034E-004
55	488.36	-2.156E-004	2.119E-004
56	491.75	-2.114E-004	2.135E-004
57	495.15	-2.271E-004	2.107E-004
58	498.55	-1.858E-004	2.151E-004
59	501.95	-1.871E-004	2.053E-004
60	505.35	-2.314E-004	2.074E-004
61	508.75	-2.290E-004	2.153E-004
62	512.14	-2.319E-004	2.074E-004
63	515.54	-2.731E-004	2.131E-004
64	518.94	-2.664E-004	2.195E-004
65	522.34	-2.499E-004	2.192E-004
66	525.74	-1.577E-004	2.072E-004
67	529.13	-1.027E-004	2.171E-004
68	532.53	-2.124E-005	2.085E-004
69	535.93	4.286E-005	2.205E-004
70	539.33	5.692E-005	2.245E-004
71	542.72	9.515E-005	2.072E-004
72	546.12	1.051E-004	2.126E-004
73	549.52	1.339E-004	2.270E-004
74	552.91	1.297E-004	2.152E-004
75	556.31	1.596E-004	2.065E-004
76	559.70	1.639E-004	2.096E-004
77	563.10	1.927E-004	2.191E-004
78	566.50	2.104E-004	2.231E-004
79	569.89	2.179E-004	2.113E-004
80	573.28	2.346E-004	2.163E-004
81	576.68	2.638E-004	2.212E-004
82	580.07	2.329E-004	2.150E-004
83	583.47	3.060E-004	2.139E-004
84	586.86	3.175E-004	2.088E-004
85	590.25	2.667E-004	2.124E-004
86	593.65	2.790E-004	2.168E-004
87	597.04	2.796E-004	2.161E-004
88	600.43	2.931E-004	2.140E-004
89	603.82	3.189E-004	2.313E-004
90	607.21	3.438E-004	2.255E-004
91	610.60	4.536E-004	2.206E-004
92	613.99	5.138E-004	2.239E-004
93	617.38	4.954E-004	2.145E-004
94	620.77	4.369E-004	2.084E-004
95	624.16	3.423E-004	2.057E-004
96	627.55	1.892E-004	2.068E-004
97	630.94	-9.693E-005	2.262E-004
98	634.32	-1.043E-004	2.295E-004
99	637.71	4.249E-004	2.179E-004
100	641.10	9.252E-004	2.047E-004
101	644.48	1.247E-003	2.141E-004
102	647.87	1.233E-003	2.092E-004
103	651.25	1.157E-003	2.066E-004
104	654.64	1.109E-003	2.256E-004
105	658.02	8.648E-004	2.261E-004
106	661.40	6.387E-004	2.183E-004
107	664.78	5.558E-004	2.262E-004
108	668.17	7.136E-004	2.259E-004
109	671.55	8.592E-004	2.184E-004
110	674.93	8.748E-004	2.087E-004
111	678.31	9.147E-004	2.249E-004
112	681.68	9.500E-004	2.183E-004
113	685.06	9.986E-004	2.104E-004
114	688.44	9.981E-004	2.051E-004
115	691.82	9.612E-004	2.197E-004
116	695.19	9.828E-004	2.205E-004
117	698.57	9.400E-004	2.170E-004
118	701.94	9.521E-004	2.208E-004
119	705.31	9.595E-004	2.277E-004
120	708.69	9.504E-004	2.230E-004
121	712.06	1.013E-003	2.232E-004
122	715.43	9.953E-004	2.142E-004
123	718.80	9.820E-004	2.085E-004
124	722.17	1.037E-003	2.116E-004
125	725.54	9.712E-004	2.089E-004
126	728.91	9.525E-004	2.162E-004
127	732.27	9.246E-004	2.135E-004
128	735.64	9.075E-004	2.185E-004
129	739.00	9.130E-004	2.288E-004
130	742.37	1.018E-003	2.281E-004
131	745.73	1.067E-003	2.323E-004
132	749.09	1.211E-003	2.221E-004
133	752.45	1.349E-003	2.093E-004
134	755.81	1.468E-003	2.060E-004
135	759.17	1.601E-003	2.155E-004
136	762.53	1.744E-003	2.254E-004
