[Spectrum]
Version            = 1
IDData             = TO_2024-12-06_11-41-10
IDDevice           = SAM_874F
IDDataType         = SPECTRUM
IDDataTypeSub1     = CAL
IDDataTypeSub2     = Air
IDDataTypeSub3     = 
DateTime           = 2024-12-06 11:41:10
PositionLatitude   = 0
PositionLongitude  = 0
Comment            = 
CommentSub1        = 
CommentSub2        = 
CommentSub3        = 
IDMethodType       = 
MethodName         = 
RecordType         = 0

[Attributes]
CalFactor = 1
IDBasisSpec = 
IDDataBack = DLAB_2022-02-10_08-14-32_660_090
IDDataCal = 
IntegrationTime = 64
PathLength = +INF
Temperature = +NAN
Unit1 = $05 $00 Pixel
Unit2 = $04 $09 1/Intensity (m^2 nm)/mW
Unit3 = $04 $09 1/Intensity (m^2 nm)/mW
Unit4 = $f1 $00 Status
[END] of [Attributes]

[DATA]
 0 5 0 0
 1 0.111047 0.002301 0
 2 0.112426 0.002231 0
 3 0.114243 0.002096 0
 4 0.110395 0.001906 0
 5 0.116396 0.002027 0
 6 0.120644 0.001857 0
 7 0.125717 0.001800 0
 8 0.136751 0.001997 0
 9 0.146324 0.001925 0
 10 0.159477 0.002029 0
 11 0.176810 0.002192 0
 12 0.192509 0.002325 0
 13 0.206598 0.002531 0
 14 0.217305 0.002533 0
 15 0.221734 0.002606 0
 16 0.220927 0.002602 0
 17 0.214796 0.002473 0
 18 0.205662 0.002362 0
 19 0.196376 0.002252 0
 20 0.189601 0.002166 0
 21 0.184881 0.002116 0
 22 0.184287 0.002094 0
 23 0.185632 0.002089 0
 24 0.190000 0.002127 0
 25 0.196796 0.002169 0
 26 0.206750 0.002246 0
 27 0.219261 0.002355 0
 28 0.233860 0.002477 0
 29 0.250219 0.002613 0
 30 0.267174 0.002763 0
 31 0.286081 0.002926 0
 32 0.305285 0.003074 0
 33 0.324534 0.003235 0
 34 0.340988 0.003356 0
 35 0.354470 0.003439 0
 36 0.363896 0.003493 0
 37 0.369556 0.003507 0
 38 0.371115 0.003471 0
 39 0.368804 0.003414 0
 40 0.364319 0.003335 0
 41 0.357661 0.003229 0
 42 0.349463 0.003141 0
 43 0.340867 0.003059 0
 44 0.332089 0.002973 0
 45 0.323990 0.002897 0
 46 0.317848 0.002838 0
 47 0.313200 0.002790 0
 48 0.310866 0.002769 0
 49 0.310156 0.002760 0
 50 0.311324 0.002764 0
 51 0.313403 0.002782 0
 52 0.315411 0.002796 0
 53 0.316772 0.002804 0
 54 0.318273 0.002816 0
 55 0.320528 0.002834 0
 56 0.323741 0.002858 0
 57 0.328558 0.002899 0
 58 0.334518 0.002949 0
 59 0.341618 0.003008 0
 60 0.350086 0.003081 0
 61 0.359579 0.003162 0
 62 0.369883 0.003250 0
 63 0.380735 0.003344 0
 64 0.391102 0.003433 0
 65 0.400821 0.003515 0
 66 0.409768 0.003592 0
 67 0.417227 0.003655 0
 68 0.422748 0.003701 0
 69 0.425873 0.003727 0
 70 0.425727 0.003724 0
 71 0.422733 0.003696 0
 72 0.417028 0.003644 0
 73 0.408920 0.003572 0
 74 0.399828 0.003491 0
 75 0.390024 0.003404 0
 76 0.379841 0.003314 0
 77 0.369963 0.003227 0
 78 0.360163 0.003141 0
 79 0.350744 0.003058 0
 80 0.341769 0.002979 0
 81 0.333154 0.002903 0
 82 0.324491 0.002828 0
 83 0.316035 0.002753 0
 84 0.307386 0.002678 0
 85 0.298794 0.002603 0
 86 0.291323 0.002537 0
 87 0.285998 0.002490 0
 88 0.282779 0.002463 0
 89 0.281085 0.002448 0
 90 0.279940 0.002437 0
 91 0.279534 0.002434 0
 92 0.279697 0.002435 0
 93 0.279094 0.002430 0
 94 0.277750 0.002419 0
 95 0.275104 0.002396 0
 96 0.271073 0.002361 0
 97 0.266088 0.002318 0
 98 0.260895 0.002273 0
 99 0.255678 0.002228 0
 100 0.251415 0.002191 0
 101 0.248407 0.002165 0
 102 0.245803 0.002143 0
 103 0.244223 0.002130 0
 104 0.242960 0.002119 0
 105 0.241146 0.002104 0
 106 0.238160 0.002079 0
 107 0.235214 0.002053 0
 108 0.233307 0.002037 0
 109 0.232146 0.002028 0
 110 0.231605 0.002024 0
 111 0.231064 0.002020 0
 112 0.230965 0.002020 0
 113 0.230692 0.002019 0
 114 0.230305 0.002016 0
 115 0.229806 0.002013 0
 116 0.229044 0.002008 0
 117 0.227885 0.001999 0
 118 0.226536 0.001988 0
 119 0.225125 0.001977 0
 120 0.223564 0.001964 0
 121 0.221994 0.001952 0
 122 0.220444 0.001940 0
 123 0.218966 0.001928 0
 124 0.217733 0.001918 0
 125 0.216386 0.001908 0
 126 0.214947 0.001897 0
 127 0.213585 0.001886 0
 128 0.211681 0.001871 0
 129 0.209417 0.001853 0
 130 0.206883 0.001832 0
 131 0.203884 0.001807 0
 132 0.200593 0.001780 0
 133 0.197123 0.001751 0
 134 0.193724 0.001723 0
 135 0.190288 0.001694 0
 136 0.187000 0.001666 0
 137 0.183813 0.001640 0
 138 0.180702 0.001614 0
 139 0.177625 0.001589 0
 140 0.174570 0.001563 0
 141 0.171382 0.001537 0
 142 0.167867 0.001507 0
 143 0.163815 0.001473 0
 144 0.159298 0.001435 0
 145 0.154097 0.001390 0
 146 0.148422 0.001341 0
 147 0.142512 0.001289 0
 148 0.136387 0.001236 0
 149 0.130336 0.001183 0
 150 0.124414 0.001131 0
 151 0.118864 0.001083 0
 152 0.113646 0.001037 0
 153 0.108803 0.000995 0
