!FRM4SOC_CP
!TEMPDATA
# thermal characterization results

# comments start with # (ignored by the processor)
# no empty lines between the parameter signatures in [] and the parameter values
# parameters are case insensitive
# parameters can be inserted in any order, except the first two signatures
# columns are tab- or space-delimited

[VERSION]
0.1

[CALDATE]
2023-04-06 09:02:55

[CALLAB]
Tartu Observatory

[USER]
Riho Vendt

[DEVICE]
CLASS_HYPEROCR_IRRADIANCE

[REFERENCE_TEMP]
20.0

#px	wl (nm)	cT (1/deg)	ucT (1/deg, k=2)
[CALDATA]
0	320.00	2.362E-003	4.572E-003
1	322.50	2.225E-003	4.510E-003
2	325.00	1.525E-003	4.629E-003
3	327.50	1.182E-003	4.296E-003
4	330.00	1.321E-003	3.039E-003
5	332.50	9.923E-004	2.759E-003
6	335.00	1.323E-003	2.461E-003
7	337.50	1.359E-003	2.163E-003
8	340.00	9.551E-004	2.172E-003
9	342.50	1.090E-003	1.290E-003
10	345.00	1.100E-003	8.386E-004
11	347.50	1.144E-003	8.247E-004
12	350.00	1.185E-003	7.901E-004
13	352.50	1.186E-003	5.187E-004
14	355.00	1.120E-003	3.367E-004
15	357.50	1.091E-003	3.514E-004
16	360.00	1.112E-003	5.588E-004
17	362.50	1.136E-003	6.840E-004
18	365.00	1.073E-003	7.647E-004
19	367.50	1.043E-003	7.685E-004
20	370.00	1.045E-003	6.967E-004
21	372.50	9.972E-004	6.517E-004
22	375.00	9.325E-004	5.542E-004
23	377.50	8.746E-004	5.791E-004
24	380.00	8.312E-004	6.537E-004
25	382.50	8.192E-004	6.415E-004
26	385.00	8.143E-004	5.887E-004
27	387.50	8.143E-004	5.633E-004
28	390.00	8.227E-004	5.558E-004
29	392.50	8.475E-004	5.422E-004
30	395.00	8.378E-004	4.984E-004
31	397.50	8.312E-004	4.813E-004
32	400.00	8.297E-004	4.680E-004
33	402.50	8.254E-004	4.683E-004
34	405.00	8.293E-004	4.724E-004
35	407.50	8.414E-004	4.666E-004
36	410.00	8.588E-004	4.685E-004
37	412.50	8.729E-004	4.870E-004
38	415.00	8.747E-004	4.601E-004
39	417.50	8.817E-004	4.595E-004
40	420.00	8.882E-004	4.626E-004
41	422.50	9.013E-004	4.388E-004
42	425.00	9.161E-004	4.705E-004
43	427.50	9.303E-004	4.745E-004
44	430.00	9.473E-004	4.683E-004
45	432.50	9.558E-004	4.778E-004
46	435.00	9.589E-004	4.753E-004
47	437.50	9.529E-004	4.702E-004
48	440.00	9.438E-004	4.695E-004
49	442.50	9.450E-004	4.616E-004
50	445.00	9.562E-004	4.715E-004
51	447.50	9.690E-004	4.636E-004
52	450.00	9.885E-004	4.501E-004
53	452.50	1.013E-003	4.427E-004
54	455.00	1.047E-003	4.572E-004
55	457.50	1.071E-003	4.506E-004
56	460.00	1.089E-003	4.465E-004
57	462.50	1.102E-003	4.570E-004
58	465.00	1.106E-003	4.398E-004
59	467.50	1.112E-003	4.343E-004
60	470.00	1.119E-003	4.433E-004
61	472.50	1.125E-003	4.660E-004
62	475.00	1.111E-003	4.571E-004
63	477.50	1.107E-003	4.472E-004
64	480.00	1.118E-003	4.416E-004
65	482.50	1.142E-003	4.451E-004
66	485.00	1.185E-003	4.360E-004
67	487.50	1.232E-003	4.317E-004
68	490.00	1.276E-003	4.283E-004
69	492.50	1.319E-003	4.083E-004
70	495.00	1.357E-003	4.089E-004
71	497.50	1.386E-003	4.168E-004
72	500.00	1.410E-003	4.218E-004
73	502.50	1.437E-003	4.152E-004
74	505.00	1.464E-003	4.129E-004
75	507.50	1.485E-003	4.132E-004
76	510.00	1.501E-003	4.227E-004
77	512.50	1.516E-003	4.248E-004
78	515.00	1.531E-003	4.367E-004
79	517.50	1.542E-003	4.448E-004
80	520.00	1.550E-003	4.534E-004
81	522.50	1.560E-003	4.601E-004
82	525.00	1.570E-003	4.605E-004
83	527.50	1.582E-003	4.629E-004
84	530.00	1.596E-003	4.635E-004
85	532.50	1.611E-003	4.589E-004
86	535.00	1.622E-003	4.517E-004
87	537.50	1.640E-003	4.627E-004
88	540.00	1.660E-003	4.668E-004
