!FRM4SOC_CP
!ANGDATA
# angular responsivity characterization results

# comments start with # (ignored by the processor)
# no empty lines between the parameter signatures in [] and the parameter values
# parameters are case insensitive
# parameters can be inserted in any order, except the first two signatures
# columns are tab- or space-delimited

[VERSION]
0.1

[CALDATE]
2023-04-06 09:11:00

[CALLAB]
Tartu Observatory

[USER]
Riho Vendt

[DEVICE]
CLASS_RAMSES_IRRADIANCE

[REFERENCE_TEMP]
20.0

[AZIMUTH_ANGLE]
0

[COLUMN_NAMES]
px	wl\angle	-90.00	-85.00	-80.00	-75.00	-70.00	-65.00	-60.00	-55.00	-50.00	-45.00	-40.00	-35.00	-30.00	-25.00	-20.00	-17.50	-15.00	-12.50	-10.00	-7.50	-5.00	-2.50	0.00	2.50	5.00	7.50	10.00	12.50	15.00	17.50	20.00	25.00	30.00	35.00	40.00	45.00	50.00	55.00	60.00	65.00	70.00	75.00	80.00	85.00	90.00

[COSERROR]
0	320.00	13.48	13.48	2.92	0.17	-0.60	-0.80	-0.86	-0.83	-0.72	-0.63	-0.48	-0.28	-0.09	0.04	0.23	0.30	0.35	0.36	0.34	0.31	0.21	0.07	0.00	0.14	0.22	0.29	0.40	0.41	0.44	0.45	0.41	0.31	0.23	0.13	0.07	-0.05	-0.14	-0.18	-0.23	-0.11	0.16	1.08	3.93	15.09	15.09
1	322.50	13.23	13.23	2.85	0.11	-0.60	-0.85	-0.89	-0.81	-0.75	-0.64	-0.47	-0.28	-0.10	0.02	0.23	0.29	0.35	0.35	0.34	0.32	0.22	0.07	0.00	0.14	0.23	0.30	0.41	0.40	0.44	0.45	0.39	0.31	0.24	0.12	0.08	-0.06	-0.14	-0.17	-0.23	-0.08	0.17	1.02	3.90	14.92	14.92
2	325.00	13.56	13.56	2.93	0.26	-0.62	-0.81	-0.88	-0.82	-0.70	-0.61	-0.48	-0.29	-0.11	0.04	0.23	0.29	0.35	0.33	0.33	0.31	0.20	0.08	0.00	0.10	0.23	0.28	0.40	0.39	0.43	0.43	0.38	0.30	0.21	0.11	0.07	-0.06	-0.13	-0.18	-0.21	-0.08	0.18	1.14	4.00	15.29	15.29
3	327.50	13.67	13.67	3.01	0.29	-0.58	-0.79	-0.86	-0.81	-0.69	-0.59	-0.46	-0.28	-0.10	0.05	0.23	0.31	0.36	0.35	0.33	0.31	0.21	0.08	0.00	0.11	0.22	0.30	0.41	0.42	0.44	0.44	0.40	0.31	0.23	0.12	0.09	-0.05	-0.12	-0.16	-0.19	-0.04	0.23	1.19	4.06	15.55	15.55
4	330.00	13.74	13.74	3.05	0.30	-0.53	-0.77	-0.83	-0.79	-0.68	-0.58	-0.44	-0.27	-0.10	0.06	0.23	0.31	0.35	0.36	0.33	0.30	0.22	0.08	0.00	0.11	0.22	0.31	0.41	0.43	0.44	0.45	0.41	0.31	0.24	0.14	0.09	-0.03	-0.09	-0.15	-0.18	-0.00	0.26	1.21	4.09	15.65	15.65
5	332.50	13.85	13.85	3.11	0.32	-0.52	-0.74	-0.81	-0.77	-0.67	-0.57	-0.42	-0.27	-0.10	0.06	0.23	0.29	0.35	0.35	0.33	0.30	0.21	0.06	0.00	0.11	0.22	0.30	0.39	0.42	0.44	0.45	0.41	0.33	0.25	0.16	0.10	-0.02	-0.08	-0.14	-0.17	0.02	0.28	1.22	4.11	15.69	15.69
6	335.00	13.87	13.87	3.17	0.41	-0.49	-0.72	-0.78	-0.76	-0.64	-0.56	-0.42	-0.25	-0.07	0.07	0.24	0.31	0.35	0.36	0.32	0.31	0.21	0.08	0.00	0.12	0.23	0.31	0.40	0.43	0.45	0.45	0.41	0.34	0.25	0.16	0.11	0.00	-0.06	-0.11	-0.14	0.05	0.33	1.31	4.21	15.72	15.72
