!FRM4SOC_CP
!TEMPDATA
# thermal characterization results

# comments start with # (ignored by the processor)
# no empty lines between the parameter signatures in [] and the parameter values
# parameters are case insensitive
# parameters can be inserted in any order, except the first two signatures
# columns are tab- or space-delimited

[VERSION]
0.1

[CALDATE]
2022-05-04 19:56:59

[CALLAB]
Tartu Observatory

[USER]
Ilmar Ansko

[DEVICE]
SAM_8166

[AMBIENT_TEMP]
21.0

[REFERENCE_TEMP]
20.0

#px	wl (nm)	cT (1/deg)	ucT (1/deg, k=2)
[CALDATA]
0	305.10	0.000E+000	0.000E+000
1	308.37	1.627E-003	3.673E-004
2	311.64	1.339E-003	5.925E-004
3	314.91	1.162E-003	3.980E-004
4	318.19	8.213E-004	2.664E-004
5	321.46	6.434E-004	3.227E-004
6	324.73	1.067E-003	3.425E-004
7	328.00	8.243E-004	2.798E-004
8	331.28	1.329E-003	4.135E-004
9	334.55	1.297E-003	3.194E-004
10	337.83	1.323E-003	3.095E-004
11	341.11	1.258E-003	2.821E-004
12	344.38	1.134E-003	2.981E-004
13	347.66	1.098E-003	3.038E-004
14	350.94	1.069E-003	2.827E-004
15	354.22	1.119E-003	2.850E-004
16	357.49	1.186E-003	2.781E-004
17	360.77	1.167E-003	2.757E-004
18	364.05	1.133E-003	2.782E-004
19	367.34	1.125E-003	2.710E-004
20	370.62	1.052E-003	2.668E-004
21	373.90	9.688E-004	2.650E-004
22	377.18	9.119E-004	2.600E-004
23	380.46	8.473E-004	2.668E-004
24	383.75	8.119E-004	2.598E-004
25	387.03	7.906E-004	2.521E-004
26	390.31	7.781E-004	2.427E-004
27	393.60	7.502E-004	2.406E-004
28	396.88	7.270E-004	2.366E-004
29	400.17	7.004E-004	2.348E-004
30	403.46	6.715E-004	2.322E-004
31	406.74	6.472E-004	2.287E-004
32	410.03	6.130E-004	2.274E-004
33	413.32	5.816E-004	2.250E-004
34	416.60	5.606E-004	2.239E-004
35	419.89	5.330E-004	2.230E-004
36	423.18	5.197E-004	2.222E-004
37	426.47	5.085E-004	2.216E-004
38	429.76	5.077E-004	2.198E-004
39	433.05	5.027E-004	2.187E-004
40	436.34	4.976E-004	2.177E-004
41	439.63	4.950E-004	2.174E-004
42	442.92	4.957E-004	2.152E-004
43	446.21	5.018E-004	2.154E-004
44	449.50	5.242E-004	2.143E-004
45	452.79	5.561E-004	2.135E-004
46	456.09	5.900E-004	2.126E-004
47	459.38	6.185E-004	2.116E-004
48	462.67	6.403E-004	2.112E-004
49	465.96	6.618E-004	2.103E-004
50	469.26	6.733E-004	2.099E-004
51	472.55	6.900E-004	2.091E-004
52	475.84	7.065E-004	2.086E-004
53	479.14	7.221E-004	2.077E-004
54	482.43	7.395E-004	2.071E-004
55	485.72	7.571E-004	2.063E-004
56	489.02	7.754E-004	2.061E-004
57	492.31	7.944E-004	2.056E-004
58	495.61	8.173E-004	2.056E-004
59	498.90	8.486E-004	2.055E-004
60	502.20	8.893E-004	2.058E-004
61	505.49	9.337E-004	2.057E-004
62	508.79	9.713E-004	2.058E-004
63	512.08	1.002E-003	2.059E-004
64	515.38	1.026E-003	2.056E-004
65	518.68	1.029E-003	2.048E-004
66	521.97	1.027E-003	2.049E-004
67	525.27	1.019E-003	2.047E-004
68	528.56	1.026E-003	2.039E-004
69	531.86	1.049E-003	2.045E-004
70	535.16	1.069E-003	2.046E-004
71	538.45	1.084E-003	2.046E-004
72	541.75	1.087E-003	2.049E-004
73	545.05	1.078E-003	2.049E-004
74	548.34	1.070E-003	2.045E-004
75	551.64	1.062E-003	2.044E-004
76	554.94	1.060E-003	2.040E-004
77	558.23	1.063E-003	2.039E-004
78	561.53	1.079E-003	2.040E-004
79	564.83	1.110E-003	2.041E-004
80	568.12	1.150E-003	2.042E-004
81	571.42	1.193E-003	2.044E-004
82	574.71	1.230E-003	2.045E-004
83	578.01	1.260E-003	2.045E-004
84	581.31	1.284E-003	2.043E-004
85	584.60	1.304E-003	2.042E-004
86	587.90	1.322E-003	2.041E-004
87	591.20	1.339E-003	2.043E-004
88	594.49	1.344E-003	2.044E-004
89	597.79	1.329E-003	2.051E-004
90	601.08	1.325E-003	2.044E-004
91	604.38	1.337E-003	2.038E-004
92	607.68	1.355E-003	2.034E-004
93	610.97	1.380E-003	2.032E-004
94	614.27	1.413E-003	2.027E-004
95	617.56	1.432E-003	2.029E-004
96	620.86	1.453E-003	2.030E-004
97	624.15	1.474E-003	2.028E-004
98	627.45	1.492E-003	2.029E-004
99	630.74	1.510E-003	2.028E-004
100	634.04	1.528E-003	2.029E-004
101	637.33	1.547E-003	2.028E-004
102	640.62	1.563E-003	2.027E-004
103	643.92	1.583E-003	2.029E-004
104	647.21	1.603E-003	2.027E-004
105	650.50	1.625E-003	2.027E-004
106	653.80	1.641E-003	2.028E-004
107	657.09	1.653E-003	2.028E-004
108	660.38	1.664E-003	2.027E-004
109	663.67	1.679E-003	2.027E-004
110	666.97	1.696E-003	2.027E-004
111	670.26	1.713E-003	2.024E-004
112	673.55	1.728E-003	2.024E-004
113	676.84	1.739E-003	2.024E-004
114	680.13	1.752E-003	2.024E-004
115	683.42	1.764E-003	2.022E-004
116	686.71	1.782E-003	2.021E-004
117	690.00	1.803E-003	2.020E-004
118	693.29	1.831E-003	2.020E-004
119	696.58	1.862E-003	2.019E-004
120	699.87	1.903E-003	2.019E-004
121	703.15	1.949E-003	2.019E-004
122	706.44	1.997E-003	2.020E-004
123	709.73	2.041E-003	2.019E-004
124	713.02	2.079E-003	2.020E-004
125	716.30	2.108E-003	2.020E-004
126	719.59	2.127E-003	2.019E-004
127	722.87	2.132E-003	2.018E-004
128	726.16	2.124E-003	2.017E-004
129	729.44	2.101E-003	2.015E-004
130	732.73	2.077E-003	2.014E-004
131	736.01	2.066E-003	2.013E-004
132	739.30	2.079E-003	2.011E-004
133	742.58	2.122E-003	2.009E-004
134	745.86	2.185E-003	2.006E-004
135	749.14	2.260E-003	2.006E-004
136	752.42	2.344E-003	2.005E-004
137	755.70	2.428E-003	2.003E-004
138	758.98	2.515E-003	2.003E-004
139	762.26	2.607E-003	2.003E-004
140	765.54	2.708E-003	2.003E-004
141	768.82	2.809E-003	2.003E-004
142	772.10	2.911E-003	2.004E-004
143	775.38	3.011E-003	2.005E-004
144	778.65	3.099E-003	2.006E-004
145	781.93	3.181E-003	2.004E-004
146	785.20	3.254E-003	2.006E-004
147	788.48	3.315E-003	2.005E-004
148	791.75	3.375E-003	2.005E-004
149	795.03	3.425E-003	2.006E-004
150	798.30	3.475E-003	2.006E-004
151	801.57	3.514E-003	2.004E-004
152	804.84	3.549E-003	2.006E-004
153	808.11	3.573E-003	2.005E-004
154	811.38	3.592E-003	2.007E-004
155	814.65	3.607E-003	2.004E-004
156	817.92	3.621E-003	2.006E-004
157	821.19	3.611E-003	2.006E-004
158	824.46	3.586E-003	2.006E-004
159	827.72	3.544E-003	2.003E-004
160	830.99	3.501E-003	2.005E-004
161	834.25	3.482E-003	2.004E-004
162	837.52	3.491E-003	2.007E-004
163	840.78	3.528E-003	2.010E-004
164	844.04	3.590E-003	2.017E-004
165	847.31	3.664E-003	2.024E-004
