!FRM4SOC_CP
!TEMPDATA
# thermal characterization results

# comments start with # (ignored by the processor)
# no empty lines between the parameter signatures in [] and the parameter values
# parameters are case insensitive
# parameters can be inserted in any order, except the first two signatures
# columns are tab- or space-delimited

[VERSION]
0.1

[CALDATE]
2022-03-11 09:39:55

[CALLAB]
Tartu Observatory

[USER]
Ilmar Ansko

[DEVICE]
SAT0464

[AMBIENT_TEMP]
21.0

[REFERENCE_TEMP]
20.0

#px	wl (nm)	cT (1/deg)	ucT (1/deg, k=2)
[CALDATA]
0	0.00	0.000E+00	2.000E-04
1	307.69	1.257E-03	2.698E-03
2	311.02	-1.108E-03	2.689E-03
3	314.34	-1.879E-03	3.393E-03
4	317.66	-5.952E-04	1.886E-03
5	320.99	-1.162E-03	1.983E-03
6	324.31	-1.163E-03	2.096E-03
7	327.63	-1.485E-03	1.575E-03
8	330.96	-4.650E-04	1.351E-03
9	334.29	-1.192E-03	1.066E-03
10	337.61	-8.846E-04	9.920E-04
11	340.94	-1.086E-03	6.444E-04
12	344.27	-5.608E-04	5.792E-04
13	347.60	-6.792E-04	4.193E-04
14	350.93	-4.974E-04	4.100E-04
15	354.26	-5.238E-04	3.014E-04
16	357.59	-5.296E-04	3.074E-04
17	360.92	-4.457E-04	2.577E-04
18	364.25	-4.710E-04	2.510E-04
19	367.58	-4.488E-04	2.260E-04
20	370.91	-5.538E-04	2.211E-04
21	374.24	-5.662E-04	2.176E-04
22	377.58	-5.939E-04	2.152E-04
23	380.91	-6.574E-04	2.214E-04
24	384.24	-6.929E-04	2.154E-04
25	387.58	-6.844E-04	2.176E-04
26	390.91	-7.084E-04	2.142E-04
27	394.25	-7.192E-04	2.082E-04
28	397.58	-7.166E-04	2.136E-04
29	400.92	-7.452E-04	2.104E-04
30	404.25	-7.224E-04	2.105E-04
31	407.59	-7.202E-04	2.057E-04
32	410.93	-7.262E-04	2.090E-04
33	414.27	-6.958E-04	2.037E-04
34	417.60	-7.128E-04	2.039E-04
35	420.94	-6.819E-04	2.040E-04
36	424.28	-6.625E-04	2.031E-04
37	427.62	-6.091E-04	2.038E-04
38	430.96	-5.903E-04	2.032E-04
39	434.30	-5.926E-04	2.032E-04
40	437.64	-6.027E-04	2.051E-04
41	440.98	-5.528E-04	2.045E-04
42	444.32	-5.130E-04	2.065E-04
43	447.66	-5.022E-04	2.041E-04
44	451.00	-4.829E-04	2.116E-04
45	454.34	-4.174E-04	2.188E-04
46	457.68	-3.575E-04	2.171E-04
47	461.02	-3.527E-04	2.202E-04
48	464.36	-3.482E-04	2.204E-04
49	467.70	-3.733E-04	2.095E-04
50	471.04	-3.764E-04	2.164E-04
51	474.38	-3.783E-04	2.213E-04
52	477.73	-4.231E-04	2.114E-04
53	481.07	-3.862E-04	2.157E-04
54	484.41	-3.163E-04	2.189E-04
55	487.75	-2.549E-04	2.187E-04
56	491.10	-1.690E-04	2.260E-04
57	494.44	-1.290E-04	2.239E-04
58	497.78	-1.089E-04	2.162E-04
59	501.12	-7.334E-05	2.061E-04
60	504.47	-3.799E-05	2.168E-04
61	507.81	-2.754E-05	2.138E-04
62	511.15	-6.518E-05	2.105E-04
63	514.49	-1.963E-05	2.064E-04
64	517.84	-3.165E-05	2.077E-04
65	521.18	-4.750E-05	2.111E-04
66	524.52	-4.714E-05	2.048E-04
67	527.87	-2.079E-05	2.081E-04
68	531.21	-5.331E-05	2.111E-04
69	534.55	-9.011E-06	2.070E-04
70	537.90	6.759E-05	2.155E-04
71	541.24	1.188E-04	2.056E-04
72	544.58	1.883E-04	2.120E-04
73	547.92	2.423E-04	2.084E-04
74	551.27	2.896E-04	2.096E-04
75	554.61	3.118E-04	2.168E-04
76	557.95	3.179E-04	2.184E-04
77	561.29	3.610E-04	2.101E-04
78	564.64	3.645E-04	2.064E-04
79	567.98	3.729E-04	2.166E-04
80	571.32	3.877E-04	2.211E-04
81	574.66	3.774E-04	2.157E-04
82	578.00	4.291E-04	2.179E-04
83	581.35	3.973E-04	2.267E-04
84	584.69	3.703E-04	2.199E-04
85	588.03	4.177E-04	2.243E-04
86	591.37	4.107E-04	2.232E-04
87	594.71	4.167E-04	2.148E-04
88	598.05	4.043E-04	2.143E-04
89	601.39	3.171E-04	2.294E-04
90	604.73	2.205E-04	2.375E-04
91	608.07	2.177E-04	2.849E-04
92	611.41	6.994E-04	2.447E-04
93	614.75	1.470E-03	2.081E-04
94	618.09	1.444E-03	3.775E-04
95	621.43	3.100E-04	3.847E-04
96	624.77	-4.788E-04	2.317E-04
97	628.10	-4.104E-04	4.558E-04
98	631.44	2.255E-04	4.105E-04
99	634.78	2.828E-04	2.970E-04
100	638.12	6.704E-04	2.162E-04
101	641.45	1.179E-03	2.128E-04
102	644.79	1.033E-03	2.080E-04
103	648.13	9.199E-04	2.255E-04
104	651.46	9.225E-04	2.216E-04
105	654.80	9.175E-04	2.121E-04
106	658.13	9.295E-04	2.194E-04
107	661.47	8.994E-04	2.390E-04
108	664.80	9.196E-04	2.201E-04
109	668.13	9.323E-04	2.340E-04
110	671.47	9.872E-04	2.376E-04
111	674.80	1.004E-03	2.395E-04
112	678.13	1.020E-03	2.201E-04
113	681.46	1.057E-03	2.104E-04
114	684.79	1.046E-03	2.166E-04
115	688.12	1.108E-03	2.218E-04
116	691.46	1.118E-03	2.189E-04
117	694.79	1.115E-03	2.304E-04
118	698.11	1.147E-03	2.086E-04
119	701.44	1.123E-03	2.175E-04
120	704.77	1.178E-03	2.172E-04
121	708.10	1.244E-03	2.248E-04
122	711.43	1.223E-03	2.243E-04
123	714.75	1.261E-03	2.337E-04
124	718.08	1.214E-03	2.251E-04
125	721.40	1.232E-03	2.289E-04
126	724.73	1.223E-03	2.234E-04
127	728.05	1.157E-03	2.198E-04
128	731.38	1.136E-03	2.149E-04
129	734.70	1.056E-03	2.194E-04
130	738.02	1.127E-03	2.218E-04
131	741.34	1.151E-03	2.220E-04
132	744.66	1.270E-03	2.135E-04
133	747.98	1.292E-03	2.087E-04
134	751.30	1.405E-03	2.066E-04
135	754.62	1.534E-03	2.215E-04
136	757.94	1.633E-03	2.208E-04
137	761.26	1.707E-03	2.214E-04
138	764.57	1.837E-03	2.199E-04
139	767.89	1.937E-03	2.070E-04
140	771.20	1.976E-03	2.034E-04
141	774.52	2.097E-03	2.090E-04
142	777.83	2.237E-03	2.277E-04
143	781.14	2.363E-03	2.382E-04
144	784.46	2.405E-03	2.188E-04
145	787.77	2.547E-03	2.195E-04
146	791.08	2.607E-03	2.192E-04
147	794.39	2.674E-03	2.126E-04
148	797.70	2.673E-03	2.251E-04
149	801.00	2.743E-03	2.161E-04
150	804.31	2.834E-03	2.155E-04
151	807.62	2.944E-03	2.262E-04
152	810.92	2.971E-03	2.217E-04
153	814.23	2.951E-03	2.264E-04
154	817.53	2.936E-03	2.164E-04
155	820.83	2.944E-03	2.258E-04
156	824.14	2.865E-03	2.326E-04
157	827.44	2.858E-03	2.285E-04
158	830.74	2.848E-03	2.248E-04
159	834.03	2.820E-03	2.130E-04
160	837.33	2.773E-03	2.232E-04
161	840.63	2.823E-03	2.302E-04
162	843.93	2.839E-03	2.239E-04
163	847.22	2.937E-03	2.248E-04
164	850.51	3.000E-03	2.162E-04
165	853.81	3.063E-03	2.109E-04
166	857.10	3.181E-03	2.239E-04
167	860.39	3.332E-03	2.251E-04
168	863.68	3.383E-03	2.122E-04
169	866.97	3.424E-03	2.107E-04
170	870.26	3.512E-03	2.088E-04
171	873.54	3.628E-03	2.130E-04
172	876.83	3.697E-03	2.203E-04
173	880.11	3.808E-03	2.121E-04
174	883.40	3.870E-03	2.231E-04
175	886.68	3.941E-03	2.262E-04
176	889.96	4.013E-03	2.092E-04
177	893.24	4.041E-03	2.122E-04
178	896.52	4.118E-03	2.243E-04
179	899.80	4.171E-03	2.186E-04
180	903.08	4.186E-03	2.100E-04
181	0.00	0.000E+00	0.000E+00
182	0.00	0.000E+00	0.000E+00
183	0.00	0.000E+00	0.000E+00
184	0.00	0.000E+00	0.000E+00
185	0.00	0.000E+00	0.000E+00
186	0.00	0.000E+00	0.000E+00
187	0.00	0.000E+00	0.000E+00
188	0.00	0.000E+00	0.000E+00
189	0.00	0.000E+00	0.000E+00
190	0.00	0.000E+00	0.000E+00
191	0.00	0.000E+00	0.000E+00
192	0.00	0.000E+00	0.000E+00
193	0.00	0.000E+00	0.000E+00
194	0.00	0.000E+00	0.000E+00
195	0.00	0.000E+00	0.000E+00
196	0.00	0.000E+00	0.000E+00
197	0.00	0.000E+00	0.000E+00
198	0.00	0.000E+00	0.000E+00
199	0.00	0.000E+00	0.000E+00
200	0.00	0.000E+00	0.000E+00
201	0.00	0.000E+00	0.000E+00
202	0.00	0.000E+00	0.000E+00
203	0.00	0.000E+00	0.000E+00
204	0.00	0.000E+00	0.000E+00
205	0.00	0.000E+00	0.000E+00
206	0.00	0.000E+00	0.000E+00
207	0.00	0.000E+00	0.000E+00
208	0.00	0.000E+00	0.000E+00
209	0.00	0.000E+00	0.000E+00
210	0.00	0.000E+00	0.000E+00
211	0.00	0.000E+00	0.000E+00
212	0.00	0.000E+00	0.000E+00
213	0.00	0.000E+00	0.000E+00
214	0.00	0.000E+00	0.000E+00
215	0.00	0.000E+00	0.000E+00
216	0.00	0.000E+00	0.000E+00
217	0.00	0.000E+00	0.000E+00
218	0.00	0.000E+00	0.000E+00
219	0.00	0.000E+00	0.000E+00
220	0.00	0.000E+00	0.000E+00
221	0.00	0.000E+00	0.000E+00
222	0.00	0.000E+00	0.000E+00
223	0.00	0.000E+00	0.000E+00
224	0.00	0.000E+00	0.000E+00
225	0.00	0.000E+00	0.000E+00
226	0.00	0.000E+00	0.000E+00
227	0.00	0.000E+00	0.000E+00
228	0.00	0.000E+00	0.000E+00
229	0.00	0.000E+00	0.000E+00
230	0.00	0.000E+00	0.000E+00
231	0.00	0.000E+00	0.000E+00
232	0.00	0.000E+00	0.000E+00
233	0.00	0.000E+00	0.000E+00
234	0.00	0.000E+00	0.000E+00
235	0.00	0.000E+00	0.000E+00
236	0.00	0.000E+00	0.000E+00
237	0.00	0.000E+00	0.000E+00
238	0.00	0.000E+00	0.000E+00
239	0.00	0.000E+00	0.000E+00
240	0.00	0.000E+00	0.000E+00
241	0.00	0.000E+00	0.000E+00
242	0.00	0.000E+00	0.000E+00
243	0.00	0.000E+00	0.000E+00
244	0.00	0.000E+00	0.000E+00
245	0.00	0.000E+00	0.000E+00
246	0.00	0.000E+00	0.000E+00
247	0.00	0.000E+00	0.000E+00
248	0.00	0.000E+00	0.000E+00
249	0.00	0.000E+00	0.000E+00
250	0.00	0.000E+00	0.000E+00
251	0.00	0.000E+00	0.000E+00
252	0.00	0.000E+00	0.000E+00
253	0.00	0.000E+00	0.000E+00
254	0.00	0.000E+00	0.000E+00
255	0.00	0.000E+00	0.000E+00
[END_OF_CALDATA]
