[Spectrum]
Version            = 1
IDData             = TO_2022-06-27_09-45-19
IDDevice           = SAM_8595
IDDataType         = SPECTRUM
IDDataTypeSub1     = CAL
IDDataTypeSub2     = Air
IDDataTypeSub3     = 
DateTime           = 2022-06-27 09:45:19
PositionLatitude   = 0
PositionLongitude  = 0
Comment            = 
CommentSub1        = 
CommentSub2        = 
CommentSub3        = 
IDMethodType       = 
MethodName         = 
RecordType         = 0

[Attributes]
CalFactor = 1
IDBasisSpec = 
IDDataBack = DLAB_2018-05-31_15-17-33_914_682
IDDataCal = 
IntegrationTime = 32
PathLength = +INF
Temperature = +NAN
Unit1 = $05 $00 Pixel
Unit2 = $04 $04 1/Intensity (m^2 nm Sr)/mW
Unit3 = $04 $04 1/Intensity (m^2 nm Sr)/mW
Unit4 = $f1 $00 Status
[END] of [Attributes]

[DATA]
 0 4 0 0
 1 0.168391 0.011274 0
 2 0.156956 0.010059 0
 3 0.186822 0.007568 0
 4 0.202474 0.007225 0
 5 0.252616 0.008934 0
 6 0.332297 0.007562 0
 7 0.424052 0.007755 0
 8 0.529201 0.008478 0
 9 0.641685 0.008865 0
 10 0.763422 0.009840 0
 11 0.879040 0.011068 0
 12 0.969391 0.012119 0
 13 1.025396 0.012522 0
 14 1.046060 0.012617 0
 15 1.032435 0.012325 0
 16 1.001707 0.012054 0
 17 0.964564 0.011583 0
 18 0.932880 0.011136 0
 19 0.906309 0.010806 0
 20 0.898482 0.010706 0
 21 0.908184 0.010774 0
 22 0.940019 0.011079 0
 23 0.983388 0.011583 0
 24 1.049897 0.012301 0
 25 1.130233 0.013088 0
 26 1.228576 0.014044 0
 27 1.337817 0.014611 0
 28 1.452058 0.014962 0
 29 1.569925 0.015364 0
 30 1.683278 0.016113 0
 31 1.786779 0.016880 0
 32 1.873125 0.017482 0
 33 1.933747 0.017836 0
 34 1.971966 0.017957 0
 35 1.984651 0.017855 0
 36 1.976147 0.017565 0
 37 1.950608 0.017140 0
 38 1.913825 0.016603 0
 39 1.868073 0.016009 0
 40 1.823727 0.015445 0
 41 1.782496 0.014909 0
 42 1.745910 0.014551 0
 43 1.714509 0.014285 0
 44 1.685703 0.014038 0
 45 1.660798 0.013834 0
 46 1.643955 0.013691 0
 47 1.636243 0.013618 0
 48 1.640075 0.013648 0
 49 1.654220 0.013764 0
 50 1.678892 0.013964 0
 51 1.712616 0.014245 0
 52 1.753458 0.014580 0
 53 1.796899 0.014938 0
 54 1.836301 0.015261 0
 55 1.871993 0.015558 0
 56 1.907370 0.015847 0
 57 1.942435 0.016136 0
 58 1.982226 0.016462 0
 59 2.023470 0.016802 0
 60 2.065339 0.017148 0
 61 2.109114 0.017507 0
 62 2.148496 0.017832 0
 63 2.183705 0.018122 0
 64 2.214133 0.018371 0
 65 2.236010 0.018550 0
 66 2.253149 0.018691 0
 67 2.265452 0.018789 0
 68 2.271977 0.018842 0
 69 2.270188 0.018824 0
 70 2.260998 0.018746 0
 71 2.237146 0.018547 0
 72 2.196510 0.018035 0
 73 2.138693 0.017378 0
 74 2.066502 0.016642 0
 75 1.991335 0.016014 0
 76 1.915447 0.015401 0
 77 1.844459 0.014830 0
 78 1.779403 0.014304 0
 79 1.720249 0.013828 0
 80 1.665744 0.013388 0
 81 1.616173 0.012989 0
 82 1.571393 0.012626 0
 83 1.529442 0.012290 0
 84 1.491762 0.011985 0
 85 1.457817 0.011712 0
 86 1.426746 0.011462 0
 87 1.399630 0.011242 0
 88 1.376495 0.011055 0
 89 1.355714 0.010888 0
 90 1.340767 0.010766 0
 91 1.330925 0.010687 0
 92 1.327076 0.010655 0
 93 1.328673 0.010666 0
 94 1.334483 0.010712 0
 95 1.340174 0.010757 0
 96 1.342553 0.010775 0
 97 1.339781 0.010752 0
 98 1.329189 0.010666 0
 99 1.315496 0.010556 0
 100 1.298440 0.010418 0
 101 1.281321 0.010280 0
 102 1.266784 0.010163 0
 103 1.253789 0.010057 0
 104 1.244749 0.009985 0
 105 1.238088 0.009930 0
 106 1.233254 0.009890 0
 107 1.228759 0.009854 0
 108 1.225025 0.009824 0
 109 1.219632 0.009780 0
 110 1.213666 0.009731 0
 111 1.205711 0.009667 0
 112 1.196890 0.009595 0
 113 1.187432 0.009520 0
 114 1.177927 0.009443 0
 115 1.168064 0.009363 0
 116 1.159725 0.009295 0
 117 1.150910 0.009224 0
 118 1.142183 0.009153 0
 119 1.133485 0.009084 0
 120 1.122681 0.008997 0
 121 1.108644 0.008884 0
 122 1.091895 0.008749 0
 123 1.072281 0.008591 0
 124 1.051322 0.008423 0
 125 1.030677 0.008257 0
 126 1.010897 0.008098 0
 127 0.993227 0.007957 0
 128 0.978138 0.007836 0
 129 0.963700 0.007719 0
 130 0.950027 0.007609 0
 131 0.936061 0.007497 0
 132 0.920231 0.007370 0
 133 0.902521 0.007228 0
 134 0.883740 0.007077 0
 135 0.862482 0.006907 0
 136 0.840308 0.006729 0
 137 0.817882 0.006549 0
 138 0.796162 0.006375 0
 139 0.776694 0.006219 0
 140 0.759594 0.006082 0
 141 0.744056 0.005958 0
 142 0.730075 0.005845 0
 143 0.716157 0.005733 0
 144 0.700263 0.005607 0
 145 0.683383 0.005470 0
 146 0.663874 0.005315 0
 147 0.641968 0.005139 0
 148 0.617999 0.004947 0
 149 0.591989 0.004739 0
 150 0.564689 0.004520 0
 151 0.536981 0.004299 0
 152 0.509558 0.004079 0
 153 0.483122 0.003868 0
